Left_side,Right_side,Support,Confidence,Lift
MACROLIDE,"TETRACYCLINE,QUINOLONE",0.10204081632653061,0.6666666666666666,4.083333333333333
"TETRACYCLINE,METHICILLIN","QUINOLONE,BETA-LACTAM,MACROLIDE",0.09183673469387756,0.32142857142857145,3.1500000000000004
"QUINOLONE,MACROLIDE","TETRACYCLINE,METHICILLIN,BETA-LACTAM",0.09183673469387756,0.9,3.1500000000000004
"QUINOLONE,BETA-LACTAM,MACROLIDE","TETRACYCLINE,METHICILLIN",0.09183673469387756,0.9,3.1500000000000004
"TETRACYCLINE,QUINOLONE,MACROLIDE",METHICILLIN,0.09183673469387756,0.9,3.1500000000000004
"TETRACYCLINE,METHICILLIN","QUINOLONE,MACROLIDE",0.09183673469387756,0.32142857142857145,3.1500000000000004
METHICILLIN,"TETRACYCLINE,QUINOLONE,BETA-LACTAM,MACROLIDE",0.09183673469387756,0.32142857142857145,3.1500000000000004
"METHICILLIN,BETA-LACTAM","TETRACYCLINE,QUINOLONE,MACROLIDE",0.09183673469387756,0.32142857142857145,3.1500000000000004
"QUINOLONE,MACROLIDE","TETRACYCLINE,METHICILLIN",0.09183673469387756,0.9,3.1500000000000004
METHICILLIN,"TETRACYCLINE,QUINOLONE,MACROLIDE",0.09183673469387756,0.32142857142857145,3.1500000000000004
"TETRACYCLINE,QUINOLONE,BETA-LACTAM,MACROLIDE",METHICILLIN,0.09183673469387756,0.9,3.1500000000000004
"QUINOLONE,BETA-LACTAM,MACROLIDE",METHICILLIN,0.09183673469387756,0.9,3.1500000000000004
METHICILLIN,"QUINOLONE,BETA-LACTAM,MACROLIDE",0.09183673469387756,0.32142857142857145,3.1500000000000004
"QUINOLONE,MACROLIDE","METHICILLIN,BETA-LACTAM",0.09183673469387756,0.9,3.1500000000000004
"METHICILLIN,BETA-LACTAM","QUINOLONE,MACROLIDE",0.09183673469387756,0.32142857142857145,3.1500000000000004
METHICILLIN,"QUINOLONE,MACROLIDE",0.09183673469387756,0.32142857142857145,3.1500000000000004
"TETRACYCLINE,QUINOLONE,MACROLIDE","METHICILLIN,BETA-LACTAM",0.09183673469387756,0.9,3.1500000000000004
"TETRACYCLINE,METHICILLIN,BETA-LACTAM","QUINOLONE,MACROLIDE",0.09183673469387756,0.32142857142857145,3.1500000000000004
"QUINOLONE,MACROLIDE",METHICILLIN,0.09183673469387756,0.9,3.1500000000000004
METHICILLIN,QUINOLONE,0.14285714285714285,0.5,3.0625000000000004
METHICILLIN,"QUINOLONE,BETA-LACTAM",0.14285714285714285,0.5,3.0625000000000004
"TETRACYCLINE,METHICILLIN","QUINOLONE,BETA-LACTAM",0.14285714285714285,0.5,3.0625000000000004
"TETRACYCLINE,METHICILLIN,BETA-LACTAM",QUINOLONE,0.14285714285714285,0.5,3.0625000000000004
METHICILLIN,"TETRACYCLINE,QUINOLONE,BETA-LACTAM",0.14285714285714285,0.5,3.0625000000000004
"METHICILLIN,BETA-LACTAM","TETRACYCLINE,QUINOLONE",0.14285714285714285,0.5,3.0625000000000004
METHICILLIN,"TETRACYCLINE,QUINOLONE",0.14285714285714285,0.5,3.0625000000000004
"TETRACYCLINE,METHICILLIN",QUINOLONE,0.14285714285714285,0.5,3.0625000000000004
"METHICILLIN,BETA-LACTAM",QUINOLONE,0.14285714285714285,0.5,3.0625000000000004
QUINOLONE,METHICILLIN,0.14285714285714285,0.875,3.0625
QUINOLONE,"TETRACYCLINE,METHICILLIN,BETA-LACTAM",0.14285714285714285,0.875,3.0625
"QUINOLONE,BETA-LACTAM","TETRACYCLINE,METHICILLIN",0.14285714285714285,0.875,3.0625
"QUINOLONE,BETA-LACTAM",METHICILLIN,0.14285714285714285,0.875,3.0625
QUINOLONE,"TETRACYCLINE,METHICILLIN",0.14285714285714285,0.875,3.0625
QUINOLONE,"METHICILLIN,BETA-LACTAM",0.14285714285714285,0.875,3.0625
"TETRACYCLINE,QUINOLONE","METHICILLIN,BETA-LACTAM",0.14285714285714285,0.875,3.0625
"TETRACYCLINE,QUINOLONE,BETA-LACTAM",METHICILLIN,0.14285714285714285,0.875,3.0625
"TETRACYCLINE,QUINOLONE",METHICILLIN,0.14285714285714285,0.875,3.0625
"METHICILLIN,BETA-LACTAM","TETRACYCLINE,MACROLIDE",0.11224489795918367,0.3928571428571429,2.566666666666667
"TETRACYCLINE,METHICILLIN","BETA-LACTAM,MACROLIDE",0.11224489795918367,0.3928571428571429,2.566666666666667
METHICILLIN,MACROLIDE,0.11224489795918367,0.3928571428571429,2.566666666666667
"METHICILLIN,BETA-LACTAM",MACROLIDE,0.11224489795918367,0.3928571428571429,2.566666666666667
METHICILLIN,"TETRACYCLINE,BETA-LACTAM,MACROLIDE",0.11224489795918367,0.3928571428571429,2.566666666666667
"TETRACYCLINE,METHICILLIN,BETA-LACTAM",MACROLIDE,0.11224489795918367,0.3928571428571429,2.566666666666667
METHICILLIN,"TETRACYCLINE,MACROLIDE",0.11224489795918367,0.3928571428571429,2.566666666666667
METHICILLIN,"BETA-LACTAM,MACROLIDE",0.11224489795918367,0.3928571428571429,2.566666666666667
"TETRACYCLINE,METHICILLIN",MACROLIDE,0.11224489795918367,0.3928571428571429,2.566666666666667
MACROLIDE,METHICILLIN,0.11224489795918367,0.7333333333333333,2.5666666666666664
"TETRACYCLINE,MACROLIDE","METHICILLIN,BETA-LACTAM",0.11224489795918367,0.7333333333333333,2.5666666666666664
"TETRACYCLINE,BETA-LACTAM,MACROLIDE",METHICILLIN,0.11224489795918367,0.7333333333333333,2.5666666666666664
"TETRACYCLINE,MACROLIDE",METHICILLIN,0.11224489795918367,0.7333333333333333,2.5666666666666664
MACROLIDE,"TETRACYCLINE,METHICILLIN,BETA-LACTAM",0.11224489795918367,0.7333333333333333,2.5666666666666664
MACROLIDE,"METHICILLIN,BETA-LACTAM",0.11224489795918367,0.7333333333333333,2.5666666666666664
MACROLIDE,"TETRACYCLINE,METHICILLIN",0.11224489795918367,0.7333333333333333,2.5666666666666664
"BETA-LACTAM,MACROLIDE",METHICILLIN,0.11224489795918367,0.7333333333333333,2.5666666666666664
"BETA-LACTAM,MACROLIDE","TETRACYCLINE,METHICILLIN",0.11224489795918367,0.7333333333333333,2.5666666666666664
BETA-LACTAM,"TETRACYCLINE,MACROLIDE",0.15306122448979592,0.15789473684210528,1.0315789473684212
BETA-LACTAM,MACROLIDE,0.15306122448979592,0.15789473684210528,1.0315789473684212
"TETRACYCLINE,BETA-LACTAM",QUINOLONE,0.16326530612244897,0.16842105263157894,1.0315789473684212
METHICILLIN,"TETRACYCLINE,BETA-LACTAM",0.2857142857142857,1.0,1.0315789473684212
